input_text,target_text
מתי יצא הסרט חיילים קטנים,1988
מה שמו של החמור בשרק,דונקי
באיזה קטגוריית משקל התמודד מוחמד עלי,משקל כבד
מתי לראשונה זכה djokovic בגרנד סלאם,2016
מה שמו של העכבר בסרט רטטוי,רמי
america's got talent מתי יצאה לראשונה התוכנית,2006-06-21
מיהו המנהל הכללי של הלוס אנג׳לס lakers,רוב פלינקה
מה אוכלוסיית לייק פלאסיד פלורידה,2439.0
מי הנשיא ה -12 של הפיליפינים,פידל ראמוס
מי זכה הפרס נובל האחרון,דניס מקווגי
כמה מדינות בארצות הברית היבשתית,48.0
מה הפירוש של dulce de leche בספרדית,קרמל
האם שועל הוא חלק ממשפחת החתולים,no
האם  קפטן הוק מת בעד עצם היום הזה,yes
searching for a heart of gold מי שר,ניל יאנג
up up and away in my beautiful balloon מי שר,מימד חמישי
מי שר את השיר לעולם ארקוד שוב,ג'ורג' מייקל
מתי התחילו ללבוש קסדות בהוקי,1979
מתי מוצאים את נמו יצאה  בבתי קולנוע,2003-05-30
מתי נבחר סטפן קארי לאן-בי-איי,2009
מי הם חברי להקת המכוניות,ריק אוקייסק
מה אחוז הזריקות החופשיות של מייקל ג'ורדן,83.5 אחוז
once twice three times a lady מי שר,הקומודורס
מתי שימש החשמל לראשונה למטרות מסחריות,1870
מי הוא המדבר באי האהבה,איין סטירלינג
למי יש הכי הרבה עוקבים באינסטגרם נכון לעכשיו,כריסטיאנו רונאלדו
האם יש דבר כזה מדינות עולם שני,yes
איזה פרק של spongebob זה hash slinging slasher,משמרת בית הקברות
בן כמה היה מייקל ג'ורדן כשהוא היה רוקי,22.0 שנה
מתי צולם צ'ארלי בממלכת השוקולד,מינכן
girls just want to have fun מי שר,סינדי לאופר
מי שר את איפה שלרחובות אין שם,U2
כמה פרקים יש של הרפתקאות פין וג'ייק,283.0
למי היה את הפיק הראשון בליגת NBA,ניו אורלינס פליקנס
what the world needs now is love מי שר,ג'קי דשנון
"מי המאמן הצעיר ביותר בליגת הפוטבול של ארה""ב",שון מקווי
איפה משחקים את טורניר הגולף של ווינדהאם,גרינסבורו
מי הזמר של system of a down,דארון מאלכיאן
מהו הפארק הלאומי הגדול ביותר בארצות הברית,ראנגל-סנט אליאס
מי הוא שחקן ה- NBA המבוגר ביותר שמשחק עכשיו,וינס קרטר
sign sign everywhere a sign מי שר את השיר,להקת חשמל לחמישה איש
מתי יצא ניו קידס און דה בלוק,אפריל 1986
איפה נמצא הום ראן דרבי,קליבלנד
מתקיים princess and the frog  איפה,ניו אורלינס
מי ביים את קן הקוקייה,מילוש פורמן
מי הם השחקנים שגילמו את דמותו של ג'יימס בונד לפי הסדר,רוג'ר מור
מתי יצא החיים של פאבלו,2016-02-14
מתי יצאו סרטי שר הטבעות,2001-12-19
מתי התרחש הירי בלאס-וגאס,2017-10-01
כמה ספרי magic treehouse יש,54.0
מהם השמות של כל סרטי מלחמת הכוכבים,מלחמת הכוכבים - פרק 5: האימפריה מכה שנית
מתי אוקלנד ריידרס הפכה ללאס וגאס ריידרס,2020
i have but one life to give for my country מי אמר,נייתן הייל
מי הקורטירבאק הפותח של הקנזס סיטי צ'יפס,מאט מור
מי זכה השנה בפרס האקדמיה לשחקן הטוב ביותר,ראמי מאלק
"מתי העניקה צרפת את פסל החירות לארה""ב",1881-07-04
מהו אחוז האנשים עם תואר ראשון,8.0 אחוז
מי שר את השיר אני אלוהי אש הגיהנום,ארתור בראון
מי השחקנית שמשחקת את סנסה סטארק,סופי טרנר
מי המנהיג הנוכחי של ערב הסעודית,סלמאן
מה הן הדמויות ביפה והחיה,בל (דיסני)
מתי נוצר הסרט היפה והחיה,2017
מתי התחילה והסתיימה מלחמת האזרחים האמריקנית,1861-04-12
מי מגלם את  ג'ק טלר בילדי האנרכיה,צ'ארלי האנם
מתי התגלתה הגלולה למניעת הריון,1960
מי הוא הקול של נמו בלמצוא את נמו,אלכסנדר גולד
את מי גילם ניק קרול בפה גדול,ניק ג'ונאס
מה אוכלוסיית מנדאן דקוטה הצפונית,22228.0
מי משחק את הגולש הכסוף בארבעת המופלעים,לורנס פישבורן
מתי נוצרה אוניברסיטת דרום קליפורניה,1880-10-06
NFLמתי טום בריידי התחיל לשחק ב,2000
איך קוראים ליום המקסיקני של המתים,יום המתים
איפה העצם הקטנה ביותר בגוף ממוקמת,סיכות
על שם מי נקראת שדרת ג'רום בברונקס,לאונרד ג'רומה
איפה קרה Anne with an E,קנדה
איפה ישוחקו משחקי המונדיל הבאים,2022
מי שר את השיר כל הדרך למעלה,פאט ג'ו
you're always on my mind מי כתב,וילי נלסון
מי שר את שמעתי את זה דרך שמועה,מרווין גיי
מתי יצא spongebob sponge out of water,2015-01-28
מתי יצא הפרק הראשון של בובספוג,1999-05-01
מתי בפעם הראשונה שיחקו כדורגל באולימפיאדה,1900
מתי יצא הכינוי הייבריד קוף,הונגריה
מי שר את ain't nobody loves me better,פליקס ין
איפה מתחיל ומסתיים הכביש המהיר של אלסקה,צומת דלתא
מי הוא מפקד המשטרה בדברים מוזרים,ג'ים הופר
מתי נוצר הכוכב נולד המקורי,1976
מהו גיל ההסכמה החוקי ביחסי מין בקנדה,16.0 שנה
מי כתב את the world is too much with us,ויליאם וורדסוורת'
מתי יצא שודדי הקאריביים הראשון,2003
מה הגובה של איידהו פולס איידהו,1434.0 מטר
איפה תתקיים אולימפיאדת הקיץ בשנת 2020,טוקיו
מהי הפעם האחרונה בה שלך מלך באנגליה,1660
מה גיל השתייה הצעיר ביותר באירופה,16.0 שנה
מתי יצא מכור לתחושה,2014
מי משחק למה התחתנתי,ג'יל סקוט
מתי נפתח הקזינו הראשון בלאס וגאס,1931
שמגלמת את הבת בבית הלבן למטה,ג'ואי קינג
כמה רחוקה אירוויין קליפורניה מסן דייגו קליפורניה,85.1 מיל
מי משחק את דרק שפרד באנטומיה של גריי,פטריק דמפסי
היכן בקובה נמצא מפרץ החזירים,מפרץ קזונז
the kennedy compound מה היה שמו של,מתחם קנדי
באיזו עיר בארצות הברית יש את הכי הרבה רציחות בשנה,מזרח סנט לואיס
מי משחקת את סינדי לו הו בהגרינץ',טיילור מומסן
האם יש קפאיין בבייליס אייריש קרים,yes
מתקיים the hate you give איפה,גרדן הייטס
מי תכנן את מרבית ההתקפה במלחמת הנהר האדום,קוואנה פרקר
מי הוא גיל השתייה החוקי בארצות הברית,21.0 שנה
i can't dance מי שר את השיר,ג'נסיס
"מתי יוצא העונה השלישית של ""רחוב האנטר""",2019-07-29
"מה הכי חם שהיה אי פעם בארה""ב",134.0 מעלות פארנהייט
מי משחק את ברנדט בהמפץ הגדול,מליסה ראוש
מה השפה הרשמית של ארצות הברית,אנגלית
מי שר את השיר אני הבובה שלך,ג'יימס ובובי פיוריפיי
מה הגיל הממוצע של לברדור שחור,10.0 14.0 שנה
מי כיכב בסרט צפונית לאלסקה,קפוסין
"מהי העיר הכי מאוכלסת בארה""ב",ניו יורק
מי הוא האדם הזקן ביותר בעולם כרגע,קנה טנקה
מתי זכה אבבא בתחרות האירוויזיון,1974
מה גובה תחנת החלל הבינלאומית אורביט,408.0 קילומטר
מי משחק את צ'ארלי בצ'ארלי בממלכת השוקולד,פרדי היימור
האם למישגן יש את חוק הקרקעות stand your ground,yes
מי שיחק את תמי בסרט tammy and the doctor,סנדרה די
these are the times that try men's souls מי אמר,תומאס פיין
מי היא השופטת באמריקן איידול,לוק בריאן
אילו מחברי להקת לנרד סקינרד עדיין בחיים,גארי רוסינגטון
מי הוא האדם החי המבוגר ביותר בארצות הברית,אליליה מרפי
סכרים בנהר מיסורי בדרום דקוטה,סכר פורט רנדל
מי שר את השיר אתה מעלה אותי למעלה,ג'וש גרובן
מה הוא גיל הגיל ההסכמה ביפן,13.0 שנה
כמה שערים כבש מראדונה בכל הקריירה שלו,259.0
מהו גודל האוכלוסיה באיזור דנבר,2800000.0
כמה זמן אזרח ארצות הברית יכול להישאר בסינגפור,14.0 30.0 יממה
מי ייצר את המכונית הראשונה בעולם,קרל בנץ
איך קוראים לאדם מקרואטיה,קרואטים
כמה רחוקה פלנטיישן פלורידה מפורט לודרדייל,6.4 מיל
i'll remember you מי כתב את השיר,קוי לי
directvב hallmark מה המספר של ערוץ,565.0
מי כתב את אני מרכיב את משקפי השמש שלי בלילה,קורי הארט
איפה התוכנית שקרים קטנים גדולים התרחשה,ארצות הברית
מתי פסל החירות נשלח לארצות הברית,1885-06-17
מתי מתחילה העונה החדשה של Live PD,2019-09-20
מתי יצא הסרט הראשון של הסנדק,1997-03-21
כמה נקודות קובי בראיינט קלע בקריירה שלו,33643.0
מי שר את החיים היו טובים עבורי עד כה,ג'ו וולש
little house on the prairie-מי כיכב ב,מליסה גילברט
מתי זכו הפטריוטס בסופרבול הראשון שלהם,2001
מהו שיר הנושא של the munsters,the munsters's theme
בכמה סרטים היו ashley judd ו morgan freeman ביחד,5.0
שהיה המארח המקורי של the price is right,בוב ברקר
מה האגרה על גשר בניציה,6.0 דולר אמריקני
מה שמות הדמויות בפלינסטונס,פרד קדמוני
איך נקרא החלק העליון של הרגל,ירך
מי מגלם את הג'וקר בבאטמן האביר האפל,הית' לדג'ר
מי עשה את השיר jim dandy to the rescue,Black Oak Arkansas
you don't even call me by my name מי שר,דוד אלן קו
איזה סוג של כוכב לכת הוא צדק ושבתאי,ענק גזים
מי שר את אם הייתי אדם עשיר,חיים טופול
מי חבט הכי הרבה הום ראן בעונה אחת,בארי בונדס
כמה מטוסים יש בצי של jetblue,253.0
MLBלמי יש את החוזה הגבוה ביותר ב,מייק טרוט
Range Rover מהי חברת האם של,טאטא מוטורס
מי השחקנים בסרט מאש,אליוט גולד
מתי שוחררה העונה הראשונה של דברים מוזרים,2016-07-15
מתי יצא מלך האריות הראשון,1994-06-24
מי כתב את התפילה now i lay me down to sleep,ג'וסף אדיסון
מרחק בין Summerville South Carolina מצ'רלסטון,24.4 מיל
מתי יצאה עונה 1 של apple watch,2015-04-24
באיזה טמפרטורה רותחים המים בפרנהייט,212.0 מעלות פארנהייט
מתי בפעם האחרונה זכו הראפטורס באליפות,2019
מי שר את השיר כיפה אדומה,סאם ת'ה שאם
מה היו שמות הכלבים בפיטר פן,נענע
מה הבקיע הכי הרבה ריצות בהיסטורית האם אל בי,שיקגו קאבס
כמה עונות יש לסדרה כוח פיג'יי,3.0
מי כתב את הספר סכנה ברורה ומיידית,טום קלנסי
איזו מדינה הייתה הראשונה לאשרר את מגילת האומות המאוחדות ב1945,ניקרגואה
מי חתך את האוזן שלו בביבליה,פטרוס
מי כתב את השיר be thou my vision,ואן מוריסון
כמה מיילים זה מאוסטין טקסס לאל פאסו טקסס,576.2 מיל
איפה המופע המלחמה והשלום מתקיים,אנגליה
מי הוא הקפטן של נבחרת קריקט בניו זילנד,קיין וויליאמסון
מיהו הקמע של houston rockets,מצמד
DVD-מתי קפטן מארוול יוצא ב,2019-06-11
מהו המשחק  האחרון של need for speed,Need for Speed Payback
כמה שחקנים יש בכבוצת כדורגל,11.0
בן כמה אתה צריך להיות כדי לשתות יין בקנדה,18.0
מהן מדינות המקלט בארצות הברית,מסצ'וסטס
מי הציג את it'll be alright on the night,דניס נורדן
מי שר let's give them something to talk about,בוני רייט
מה היה שמו של המטע בלא נעלם עם הרוח,שנים עשר האלונים
מתי יצאה הפורד מוסטאנג הראשונה,1965
you were always on my mind מי שר,וילי נלסון
האם מיקוד זה אותו דבר כמו מיקוד,yes
מי כתב את המוסיקה להמנון הלאומי של גרמניה,יוזף היידן
מיהו ה- gm של קבוצת Toronto Raptors,בובי וובסטר
tennesseeכמה פארקים לאומיים יש ב,56.0
כמה פרקים יש בסדרה רחוב שומשום,4481.0
כמה עונות של החווה יש ב נטפליקס,7.0
באלאדין a whole new world מי שר את,ליאה סלונגה
מי שר את השיר don't get hooked on me,מאק דייוויס
מה השם הארוך ביותר של עיר בווילס,שאנוויירפושגוונגיש
מי שר  את הגרסה המקורית של להרוג אותי ברכות,לורי ליברמן
i put a spell on you מי שר,אנני לנוקס
מיהו האדם הצעיר ביותר שנעצר,ליונל טייט
מי שיחק את הקפטן ב hill street blues,דניאל ג'יי. טראוואנטי
מי עשה את השיר מה לא תעשה למען האהבה,בובי קלדוול
מהו חוק ה Age of Consent בטנסי,18.0 שנה
באיזו שנה יצא הסרט הגוניס,1985
לכמה סוכמים הופכי הקוביה,7.0
river runs through it-מי מככב ב,ברנדה בלתין
מיהו שחקן החיזוק של philadelphia eagles,קודי קסלר
blue bell ice cream איפה הבית של,ארצות הברית
איפה אני יכול לראות את הצהרת העצמאות,הארכיון הלאומיי
מי הוא המנג׳ר של סיאטל מארינרס,סקוט סרוויס
מתי צולם הסרט קיץ 42,ארצות הברית
i can see clearly now the rain has gone מי שר,ג'ימי קליף
איך קוראים לצבי הנינג'ה,דונטלו
מה הפירוש של באקה ביפנית,ליצן חצר
מי שיחק את בן פרנקלין בסרט 1776,הווארד דה סילבה
מי שר את i was made to love her,סטיבי וונדר
מה הוא שם הקוף באלאדין,אבו
מה שם הפנתרים בספר הג'ונגל של דיסני,בגירה
יצא don't be a menace  מתי,1996-01-12
מי שיחק את הדמות של בנו של אדי מרפי בסרט אבא בא לגן,חמאני גריפין
מי משחקת את דמות הילדה הקטנה בממלכת טראביתיה,ביילי מדיסון
למי יש את ממוצע החבטות הגבוה ביותר בליגה הלאומית,טיי קוב
כמה כסף מקבלים במונופול,1500.0 דולר אמריקני
שרים tommy james and the shondells איזה שיר,I Think We're Alone Now
מי נלחם בעד ארצות הברית במלחמת העולם 1,בולגריה
מי שיחק את sirius black בסרטי הארי פוטר,גארי אולדמן
"האם בפוארטו-ריקו מצביעים בבחירות לנשיאות ארה""ב",no
מי משחק את הצב במעבר ליער,גארי שנדלינג
מתי אישה יכולה להצביע באוסטרליה,1902
מי נתן את פסל החירות לארצות הברית,צרפת
מי כיכב בסרט from here to eternity,מונטגומרי קליפט
boston red sox מי שיחק את הבסיסט השני בשביל,דאסטין פדרואה
she got the best of me מי שר,לוק קומבס
מי שר את השיר sunday morning coming down,ג'וני קאש
מי היה הנשיא שהתחיל את מלחמת ויאטנם,לינדון ג'ונסון
מי היה המנצח הגדול ב jeopardy,קן ג'נינגס
כמה ספרות יש במספר תעודת זהות,9.0
למי הפסידה broncos בסופרבול,סיאטל סיהוקס
מי הפנים המצויירות על שטר של מאה הדולר,בנג'מין פרנקלין
tie a yellow ribbon round the old oak tree מי שר,טוני אורנלדו ודאון
מי משחק את סאם בשר הטבעות,שון אסטין
כמה פעמים זכו הבלוז בגביע הסטאנלי,1.0
השם של ארבעת הנשיאים בהר רושמור,אברהם לינקולן
מתי צולם בית קטן בערבה,1974
איזה מלך בחפיסת קלפים אין לו שפם,מלך לב אדום
i left my heart in san francisco מי שר את,טוני בנט
מי הדובר של בית הנבחרים של ארצות הברית,ננסי פלוסי
מי שיחק את וויל טרנר בשודדי הקאריביים,אורלנדו בלום
מי שר את אני במצב רוח לאהבה,ג'ולי לונדון
green bay packersמי היה הקוורטרבק של ה,ארון רוג'רס
מי שר את השיר אני צריכה גיבור,בוני טיילר
peanut butter jelly time מתי יצא השיר,2004
מה אוכלוסיית דטרויט לייקס שבמינסוטה,9216.0
מיהו ה backup quarterback  של הפטריוטס,בריאן הוייר
מי שיחק את דני דוקט באנטומיה של גריי,ג'פרי דין מורגן
מי שר זו הדרך לאמרילו,טוני כריסטי
מי שר את how do you mend a broken heart,בי ג'יז
מתי התחיל הההגירה בארצות הברית,1600
מתי זכו הברונקוס בסופרבול האחרון שלהם,2016
מתי נכתב השיר yankee doodle dandy,1755
הסדירה NBAמתי המשחק הראשון של עונת ה,2019-10-22
מה הגובה של הפארק הלאומי יוסמיטי,2127.0 רגל
מהו השם הכימי של ויטמים e,γ-tocopherol
את מי ניצחו הבאקנירס בסופר בול,אוקלנד ריידרס
מה היה התאריך של המהפכה הרוסית,1917-03-08
מה תאריך יום הולדתה של המלכה,1926-04-21
מתי נגמר הסט של life of zack and cody,2008-09-01
השם האמיתי של איירון מן בחיים האמיתיים,טוני סטארק
מה הם שמותיהם של שופטי בית המשפט העליון,סמואל אליטו
מי כבת את המוזיקה להיי סקול מיוזיקל,דיוויד נסים לאורנס
מי גילם את דמותו של חניבעל לקטר בסרט שתיקת הכבשים,אנתוני הופקינס
tell me if you still care מי שר,ה- S.O.S. להקה
מי שר את,להקת האחים אולמן
למי יש הכי הרבה הום ראנס בליגת העל בביסבול,בארי בונדס
מי שר את הגרסה המקורית של moon river,ג'רי באטלר
מיהו שחקן ההגנה של ניויורק jets,סאם דרנולד
איפה הולך להיות הכדורגל הבא בגביע העולם,קטר
מי מחזיק בשיא של הכי הרבה הומראנס,בארי בונדס
איפה צולם הסרט חיה ותן למות,ניו יורק
מי שר את השיר עין בשמים,The Alan Parsons Project
על איזה סרט זכתה נטלי פורטמן באוסקר,ברבור שחור
מהי הפעם האחרונה בה זכו raiders בסופר בול,1984
בסרט הבוגר mrs robinson מי שיחק את,אן בנקרופט
מתי יצא לאור הארי פוטר והנסיך חצוי־הדם,2005-07-16
מי ניגן בגיטרה סולו ב beat it,אדי ואן היילן
למי יש הכי הרבה מדליות זהב בעולם,מייקל פלפס
כמה עונות יש ב once upon a time,7.0
מאיזה עיירה היית דורות'י בהקוסם מארץ עוץ,"ליברל, קנזאס"
מתי הפך יום האם חג לאומי,1914
מתי טקסס השיגו את העצמאות שלהם ממקסיקו,1836-04-21
מהי המלחמה הכי ארוכה בהיסטוריה,מלחמת שלוש מאות שלושים וחמש השנים
בן כמה אתה צריך להיות כדי לעשות קעקוע ביוטה,18.0 שנה
מי שר את השיר בבקשה אל תביני אותי לא נכון,The Animals
מתי הגיעה המערכת המטרית לאוסטרליה,1974
מי הזמר של אליס אין צ'יינס,ליין סטאלי
מי הזוכה של לאמריקה יש כישרון,קודי לי
"מי המנכ""ל של לוק סבהה",אום בירלה
בכמה מיילים לשעה מסתובב כדור הארץ סביב צירו,1000.0 מיל per hour
מתי הפעם האחרונה בה היו packers בסופרבול,2011-02-06
"מי שר את השיר ""ain't no mountain high enough""",מרווין גיי
heat מתי לברון ג'יימס שיחק בשביל,2010-07-10
it is well with my soul מי אמר,הוריישו ספאפורד
מהו המשחק הארוך ביותר בהסטורית ליגת הבייסבול,משחק בייסבול מקצועי ביותר
מי קלע הכי הרבה נקודות האן בי איי,כרים עבדול-ג'באר
מי הוא השופט הוותיק ביותר שישב בבית המשפט העליון,רות ביידר גינסבורג
איפה המופע new amsterdam מתקיים,ניו יורק
איזה אחוז מהאוכלוסייה האמריקאית הוא אפריקני אמריקאי,13.0 אחוז
מהו הגובה של little rock ארקנסול,102.0 מטר
מתי taylor swift שיחקה ב korax,אודרי
מיהם האבות המייסדים של הכרזת העצמאות,בנג'מין פרנקלין
מי המנצח של america's got talent 2016,גרייס ונדרוואל
האם במדינת וושינגטון חלים חוקי right-to-work,no
מהו הקוד טלפון של ארצות הברית,+1
מתי ישוחק משחק האולסטאר של ליגת הבייסבול,2019-07-09
למי יש הכי הרבה הום ראנס ב- MLB,בארי בונדס
מהי אוכלוסיית לה פז מקסיקו,244219.0
מתי יצא מלחמת הכוכבים הראשון,1977-05-25
מהי האוכלוסייה הכוללת של בריטניה,67530172.0
tesla s מתי יצא דגם ה,2012-06-22
מי שרה את השיר האם בשביל זה גילחתי את רגלי,דיאנה קרטר
כמה צילינדרים יש לוננו למבורגיני,12.0
NBAמתי הניו יורק ניקס זכו באליפות ה,1973
מי שר את השיר i'm going down,מרי ג'יי בלייג'
מתי משחקים את משחק אולסטאר בייסבול,2020-07-14
מה הביא את התוכניות למכונות ספינינג לארצות הברית,סמואל סלייטר
מי שיחקה את ווילו בבאפי ציידת הערפדים,אליסון הניגן
מיהו הבעלים של בוסטון,"שותפי כדורסל בוסטון בע""מ"
איפה נמצא תחנת הכוח גרעינית בניו יורק,ניו יורק
מי היו זמרי הליווי של אלביס פרסלי,הג'ורדניירס
מתי יצא ליגת הצדק של הסרט,2017
מי היה המלך הויקינגי הראשון של אנגליה,"סוון הראשון, מלך דנמרק"
כמה רפובליקנים יש בסינט,53.0
על מי גברה denver broncos בסופרבול,קרוליינה פנתרס
מתי הפעם האחרונה שהלוס אנג'לס דודג'רס זכו באליפות,1988
מי שמו אורות ב,1988-08-08
כמה משחקים יש בעונת פריימיר ליג,38.0
מה ההוריקאן האחרון שפגע בפלורידה,אירמה
מי מגלמת את ג'נה מרשל בשקרניות קטנות,טאמין סורסוק
מתי נכתב הספר הארי פוטר ואוצרות המוות,2007-01
מי ניצח בקרב מלחמת האזרחים הפיליפי,טריאומווירט
מיהי מספר 14 בקבוצת הנשים של ארצות הברית,מורגן בריאן
מי שר את if i were a carpenter and you were a lady,ג'וני קאש
מי שר את השיר זמן בבקבוק,ג'ים קרוצ'י
כמה פרקים בעונה 3 של מלכת הדרום,13.0 אפיזודה
man i feel like a woman מתי יצא,1997
the rose-את מי בט מידלר שיחק ב,ורד
a thing of beauty is a joy forever מי כתב את,ג'ון קיטס
איזה קבוצה זכתה באליפות המכללות בביסבול בשנה שעברה,אוניברסיטת המדינה של אורגון
מתי יצא book of henry,2017-06-14
מהי האוכלוסייה הכוללת של ניו זילנד,4794000.0
מה שמם של שלושת המוסקטרים,ארמיס
מה אוכלוסיית פאונטיין היל שבאריזונה,24583.0
מי כתב את השיר אנחנו לא מדברים יותר,סלינה גומז
למי יש הכי הרבה מספר עוקבים באינסטגרם,כריסטיאנו רונאלדו
באילו מדינות יש את חוק הקרקע שלך,אריזונה
מתי היו הקרדינלס בפעם האחרונה בוורד סירייס,2011
כמה מהיר ועצבני סרטים יש,13.0
איך קוראים לבניין הגבוה ביותר בניו יורק,מרכז הסחר העולמי החדש
מי גילם את דמותו של רון סוונסון במחלקת גנים ונוף,ניק אופרמן
מתי יצא הפרק הראשון של סיינפלד,1989-07-05
Verizon Fios איזה מספר זה ערוץ פוקס ב,Channel 583 (HD)
איפה תתקיים סופרבול 2020,ארצות הברית
מי שר את a white sport coat and a pink carnation,מרטי רובינס
בן כמה אתה צריך להיות על מנת לקנות סיגריה בארצות הברית,21.0 שנה
האם יש גשר מעל תעלת פנמה,yes
מי כתב את המוזיקה למחזמר שיקגו,ג'ון קנדר
מהן הערי בירה של ארצות הברית,וושינגטון די. סי.
כמה עונות יש ל-make it or break it,3.0
מי הוא שחקן ה- nba בעל השכר הגבוה ביותר אי פעם,קווין גארנט
מה אוכלוסיית אמרהסט נובה סקוטיה,9413.0
איפה יערך מונדיל 2022,קטר
מי עושה את קולו של barney ה dinosaur,דוד ג׳ויינר
מתי נוצרה המכונית הראשונה באמריקה,1893
בצפון קרוליינה murphy  מה האוכלוסייה של,1638.0
למי יש הכי הרבה זכיות במצעד הלהיטים,הביטלס
מאיפה פז מהמופע של שנות ה-70,איי קוקוס
מי הם התאומים בכולם אוהבים את ריימונד,סוייר סוויטן
מי שר את i kissed a girl and i liked it,קייטי פרי
מתי פוארטו ריקו הפכה לחלק מארצות הברית,1898
thank you for being a friend מי כתב את השיר,אנדרו גולד
מי הוא מלך הרוקנרול,אלביס פרסלי
מתי יצא האלבום הראשון של הביטלס,1963
מהי מהירות הבריחה של הירח,2380.0 מטר לשנייה
כמה אזורי זמן ישנם בארצות הברית,4.0
מהו המרחק בין באפולו ניו יורקר לניו יורק העיר,373.5 מיל
שמגלם את ג'ק ת'ורנטון ב When Calls The Heart,דניאל ליסינג
איפה עשו את הסרט הראשון של king kong,1933-04-07
מה הסרט הראשון במלחמות הכוכבים,מלחמת הכוכבים - פרק 4: תקווה חדשה
למי היה את הכי הרבה הום ראנס ב 2017,ג'יאנקרלו סטנטון
כמה פרקים יש בהבשורה על-פי יוחנן,21.0 other unit
מי אמר revenge is a dish best served cold,ויטו קורליאונה
מי הצוות ב 10 דברים שאני הכי שונאת אצלך,הית' לדג'ר
מי כתב את המוזיקה למנצנץ כוכב קטן,ג'יין טיילור
מתי יצא scooby doo spooky island,1969
מי כתב את השיר this girl is on fire,אלישה קיז
איפה בספרד רצים עם שוורים,פמפלונה
מי קיבל את פרס האוסקר השחקן הטוב ביותר השנה,אוליביה קולמן
מה היו 13 המדינות הראשונות של אמריקה,ניו ג'רזי
MLBלמי יש הכי הרבה ניצחונות כזורק בהיסטוריה של ה,וורן ספאן
מהו שמו של הפינגווין ב wallace ו gromit,נוצות מקגרו
מתי גלקסיית סמסונג S6 יצא,2015-04-10
כמה סרטי לילה במוזאון יש,3.0
כמה עונות של breaking bad יש,5.0
מי שר  i'm hooked on a feeling,Blue Swede
כמה עונות יש בהמקום הטוב,4.0
מה הוא גיל השתיה החוקי בצרפת,18.0 שנה
למי יש הכי הרבה אליפויות בפוטבול מכללות בכל הזמנים,פוטבול גאות ארגמן אלבמה
מי שר את השיר כך אנו עושים זאת,מונטל חורדן
מי שיחק את המלך במגלה את אמריקה,ג'יימס ארל ג'ונס
מה הגודל הממוצע של ראש,55.0 57.0 סנטימטר
איפה נמצאת תפילת האדון בביבליה,הבשורה על-פי לוקאס
מה שם הנסיכה ביפה והחיה,אדם
מי שר זה יהיה היום הכי טוב בחיי,אמריקן אותורס
איזה קדוש הוא ה finder of lost things,אנטוניוס מפדובה
מי ג'ים באל תיגע בזמיר,פיליפ אלפורד
כמה שערים הבקיע מסי עבור ברצלונה,600.0
מתי חגורות בטיחות הפכו לחובה בארצות הברית,1968
put your head on my shoulders מי שר,פול אנקה
what kind of fool do you think i am מי שר,לי רוי פארנל
מתי נעשה מלחמת הכוכבים הכוח מתעורר,2015-12-17
up the ladder to the roof מי שר את,סופרימס
מי מגלם את  שארפיי אוונס בהיי סקול מיוזיקל,אשלי טיסדייל
מתי יצאו ספרי משחקי הכס,1996-08-01
למי יש את ה pole  של ה daytona 500,וויליאם ביירון
bocce איך נקרא הכדור הלבן ב,פאלינה
מי שיחק את ג'יימי לאניסטר במשחקי הכס,ניקולאי קוסטר-ולדאו
"מי שר ""we don't have to take our clothes off""",ג'רמיין סטיוארט
יצא law and order criminal intent כמה עונות,10.0 עונות השנה
מי שר את,Shalamar
באיזו שנה נצחו broncos בסופרבו,1999
כמה פעמים זכו פילדלפיה איגלס בסופרבול,1.0
מי הפרעה הראשון שנקבר בפירמידות,תחותמס הראשון
"מי שר את השיר ""i've got you under my skin""",פרנק סינטרה
מיהו האיש הראשון שהלך על הירח,ניל ארמסטרונג
מתי שוגרה הגשושית הראשונה לחלל,1972-03-02
מה שמו של ההר הגבוה ביותר בבריטניה,סקייפל פייק
מה הוא שמה האמיתי של אמה מהסדרה ג'סי,פייטון ליסט
כמה גדול היה הכריש בסרט מלתעות,25.0 רגל
באיזה חלק של איטליה נמצא המגדל הנטוי של פיזה,איטליה
את מי משחקת זואי סלדנה בשומרי הגלקסיה,גאמורה
you can't always get what you want מי שר את השיר,הרולינג סטונז
מתי עברה raiders ללאס-וואס,2020
מי משחקת את ג'יל בצעירים חסרי מנוח,ג'ס וולטון
מי שר את קח את הרכבת האחרונה לקלארקסוויל,המאנקיז
באיזו שנה michael jordan קיבל את הטבעת הראשונה,1991
מה הקרוב ביותר שועל,זאב מצוי
מתי יצא הסרט הקול בראש,2015-05-18
מיהו הסופר של kissing hand,אודרי פן
איזה ערוץ הוא the smithsonian ב- Directv,570.0
איפה יתקיים גביע העולם 2026,מקסיקו
מי היה השופט השחור באמריקן איידול,רנדי ג'קסון
מי מגלמת את ורוניקה סייר במחזמר מלכות הכיתה,אנאלי אשפורד
it is well with my soul מי שר את,אודרי אסאד
למי יש הכי הרבה סלים ב- nba,ביל ראסל
בן כמה צריך להיות כדי להיות בן אלף,23.0 38.0 שנה
quit playing games with my heart מי שר,בקסטריט בויז
rca victor dog מה שמו של,His Master's Voice
מי האדם הצעיר ביותר שילד תינוק,לינה מדינה
